"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"הכנה לכיתה ז","מפורסם","שברים","הבנת השבר","לימוד","מפורסם","10","מהו שבר? הכרת מונה ומכנה — תרגיל 1; ייצוג חזותי של שברים — תרגיל 2; שברים על ציר המספרים — תרגיל 3; שברים פשוטים ושברים מדומים — תרגיל 4; המרת שבר מדומה למספר מעורב (ולהפך) — תרגיל 5; שברים שקולים – הכרה ראשונית — תרגיל 6; השוואת שברים – מכנה זהה או מונה זהה — תרגיל 7; שברים בבעיות מילוליות — תרגיל 8; שבר כתוצאה של חילוק — תרגיל 9; סקירה והעמקה — תרגיל 10","0","","no","0","","","yes","6a71efb255c56c9aeb8f6f26"
"כיתה ט - מתקדם","מפורסם","סטטיסטיקה והסתברות","הסתברות","תרגול","מפורסם","0","","1","הסתברות - כיתה ט-LoHLl5vZ0jghUKY2qxctzXV25d52eP.pdf","no","0","","","yes","69ccfc215567d80b5432969a"
"כיתה ט - מתקדם","מפורסם","","הסתברות","תרגול","טיוטה","0","","0","","no","0","","","no","69e8dbb8bcc1a944afba7302"
"כיתה יא - 3 יח""ל - 371","מפורסם","הסתברות","הסתברות - בסיס","לימוד","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69f515b9431ad67c5d0c4437"
"כיתה יא - 3 יח""ל - 371","מפורסם","הסתברות","הסתברות - דו שלבי","תרגול","מפורסם","0","","1","משולש ישר טריגונמטריהזווית-ltLIg2m9VmacTGVj4HIruQGRGOaPN4.pdf","no","0","","","yes","69f587ada0a8b472904fcaae"
"כיתה י - 3 יח""ל - 172","מפורסם","סטטיסטיקה והסתברות","הסתברות בסיס","לימוד","מפורסם","0","","0","","no","0","","","no","69f47b6c178c0e461a541c61"
"כיתה י - 3 יח""ל - 172","מפורסם","סטטיסטיקה והסתברות","הסתברות בסיס","תרגול","מפורסם","0","","0","","no","0","","","no","69f48cb219066a21862ada3e"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","הקשר של tana והשיפוע - גיאומטריה","לימוד","מפורסם","2","שיפוע - tana; שיפוע  (tana)","0","","no","0","","","yes","69ae62824ed0e5b6e751c033"
"כיתה יא - 4 יח""ל - 471","מפורסם","שאלון בגרות","התפלגות נורמלית - שימוש בטבלה","לימוד","מפורסם","1","התפלגות - שימוש בטבלה","0","","no","0","","","yes","69ae62334ed0e5b6e751c01c"
"כיתה יב - 4 יח""ל - 472","מפורסם","וקטורים","וקטור אגברי - ייצוג של וקטור","תרגול","מפורסם","0","","0","","no","0","","","no","69f58cc385f66461b5dff5dc"
